address,area,city,guest_recommendation,hotel_description,hotel_facilities,latitude,locality,longitude,property_id,property_name,property_type,province,room_count,room_type,site_review_count,site_review_rating,state,uniq_id
"Chitrasani Village, Off. Abu-Palanpur Highway No. 14, Banaskantha, Gujarat",Banaskantha,Chitrasani,0,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly *Valid Identification Documents/ Proof are Mandatory. *In case of any unusual/ improper/ suspicious act, Hotel can cancel Room. *Unmarried and unrelated couples will not be allowed to check in due to security reason. *Customer has to carry a copy of booking voucher at the time of check in. *Check Inn and Check Out is 12:00 Noon. After that half day charges will be applicable. *Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel.  *Pets are not allowed.",Banquet Facilities|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|Doorman|Wake-up Call / Service|Car Rental|Guide / Sightseeing Service|Room Service,24.26778,Banaskantha,72.483507,HTLGBO1000059384,Balaram Palace Resort,Palace,Chitrasani,21,Royal Tent,1,1,Gujarat,06fd2432c131b986e3dabef63869e0fe
"NT Mall Road, Dalhousie ,176304(HP)",The Mall,Dalhousie,84,The standard check-in time is 01:00 PM and the standard check-out time is 11:30 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Pets are not allowed. Valid Photo ID required for check-in,Doctor on Call|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Power Backup|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Room Service|First-Aid Kit at Front Desk|Public Restrooms|Speciality Restaurant |Suites,32.537371,The Mall,75.9824737,HTLGBO1000075636,AS Clarks inn,Hotel,Dalhousie,10,Deluxe,57,4.2,Himachal Pradesh,091daef6f4cf8e8fc39bac2cf9342e79
"Railway Station Rd,NEAR SHIVAJI STATUE,NANDED,MAHARASHTRA.",Railway Station Rd,Nanded,87,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly we do not allow Unmarried / unrelated Couples to check-in .This is at full discretion of the hotel management.No refund would be applicable in case the check-in denied under such circumstances. ID-proof mandatory to submit.,Business Center |Doctor on Call|Laundry Service Available|24 Hour Front Desk|Power Backup|Room Service|CCTV,19.1382514,Railway Station Rd,77.3209555,HTLGBO1000059830,ASHIRWAD LODGING,Hotel,Nanded,10,NON AC DELUXE,41,3.2,Maharashtra,435632e2bd4d3b81f2e2ad2420769fdf
"Dadanpatrabar, Mandarmani.",Beach Road,Mandarmani,92,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Gardens|Room Service,21.66141333,Beach Road,87.69783314,HTLGBO1000011595,Aqua Marina Drive Inn,Resort,Mandarmani,14,Aqua Super Royal AC (1st &amp; 2nd Floor with Sea View),127,4.5,West Bengal,573304a6989158cd0bad4c755bbcd3b3
"Nagalore road  Opp petrol bunk,",Yercaud Main Town,Yercaud,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Early check in and late check out is subject to availability and extras will be charged on direct payable basis.  No pets allowed.,Business Center |Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Gardens|Room Service (24 Hours)|STD / ISD|Parking Facility,11.78877598,Yercaud Main Town,78.21110564,HTLGBO1000013799,Annai Illam Guest House,Guest House,Yercaud,2,Triple bed room,1,4.6,Tamil Nadu,10fc96c69463e641906a040122dbcee4
"Shuru, PO Prini, Manali",Village Prini,Manali,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Gardens|Picnic Area|Open Air Restaurant / Dining | Bike on Rent|Vegetarian Food / Jain Food Available|Taxi Services|Campfire / Bon Fire|Internet Access Free|Outdoor Parking - Secured|Restaurant|Room Service,32.21280111,Village Prini,77.19837426,HTLGBO1000089780,Bella Marina Villa,Hotel,Manali,11,Deluxe Room,1,4,Himachal Pradesh,4f232fbf4f2b1c496d77e2a17ec470c9
"Road No. 2, Central Avenue,Kalyani Nagar",Kalyani Nagar,Pune,97,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly -,Airport Transfer Available / Surcharge|Business Center |Concierge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available|Power Backup|Gardens|Smoking Area |Shopping Drop Facility (on fixed timings)|Internet Access Free|Newspapers In Lobby|Airport Transfer Free|Outdoor Parking - Secured|Parking Facility,18.5479334,Kalyani Nagar,73.90096309,HTLGBO1000006366,AR Suites Fontana Bay,Service Apartment,Pune,19,1 Bedroom,41,4.6,Maharashtra,5cb5586a975916d63eb933fd5539580b
"Village Simsa, Kanyal Road",Village Simsa,Manali,16,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Ridge View Cottage  spells true Himachal Hospitality and traditional architecture. Offering a total of 14 lavish rooms for a peaceful holidays in Manali. Peaceful location far from the hustles of main city and outstanding customer service is our USP.,Banquet Facilities|Business Center |Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Gardens|Catering|Suitable For Children|Grocery|Conference Facility |Kitchen available (home cook food on request)|Massage Services |Discotheque | Bike on Rent|Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|City Shuttle Service|Campfire / Bon Fire|Food Facility|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Air / Rail Booking|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility,32.226787,Village Simsa,77.1854487,HTLGBO1000017212,Atithi Cottages,Hotel,Manali,10,Luxury Room,6,2.9,Himachal Pradesh,c5cfd0295572c7f718bf405fff4b3cd4
"# 598, 15th Cross, 35th Main,6th Phase, JP Nagar",Jp Nagar,Bangalore,74,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Airport Transfer Available / Surcharge|Bar / Lounge |Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Power Backup|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility,12.9058293,Jp Nagar,77.5783209,HTLGBO1000003192,Aurick Hotel,Hotel,Bangalore,47,Premium Room,86,4,Karnataka,6b11ae7b16c0ef9b94082304e1a329c1
"Near New Bus Terminal, Main Road,Kalpetta, Wayanad",Kalpetta,Wayanad,83,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly For any queries at the unit, the single point contact from Best Western Plus Ekobarn will be the General Manager of the Hotel.  All guests will show the Government issued ID card and submit visiting card at the time of checking in. Mandatory Christmas evening supplement cost - 25.12.2015- Rs.1800/- Per room to be paid directly at the time of Check in. Mandatory New Year evening supplement cost - 31.12.2015-Rs.1800/- Per room to be paid directly at the time of Check in.","Swimming Pool|Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Dry Cleaning|Health Club / Gym Facility Available|Internet Access - Surcharge|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Spa On Site - Chargeable|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Air-Conditioning - Central|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Wake-up Call / Service|Separate Sitting Area|Coffee Shop / Cafe|Electronic / Magnetic Keys|Fire Place Available |Wheelchair Accessibility - Room|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|Car Rental|Taxi Services|Food Facility|Internet Access Free|Newspapers In Lobby|Party hall|Air / Rail Booking|Baggage Room|Guide / Sightseeing Service|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility",11.6045217,Kalpetta,76.0834992,HTLGBO1000022196,Best Western Plus Ekobarn,Hotel,Wayanad,5,Premium Double Room with Breakfast,72,4.3,Kerala,49f7eb436677a526d8f7bb06a7cd078b
"Village Nadiali, P.O. Dharamgarh, Near Nabha Sabhib Gurudwara, Ajitgarh, Chandigarh",Others,Chandigarh,0,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The primary guest must be at least 18 years of age to check into this hotel As per Government regulation, it is mandatory for all guests adove 18 years of age carry a valid photo identity card and address proof at the time of check-in.",Swimming Pool|Bar / Lounge |Doctor on Call|Dry Cleaning|Laundry Service Available|Multi Cuisine Restaurant |Sauna|Conference Facility,30.7046486,Others,76.7178726,HTLGBO1000049560,Aura Vaseela,Resort,Chandigarh,9,Cottage Rooms,1,1.6,Punjab,f646e70f34462405acc8a5a6c760226b
"Naddi, Dal Lake, Mcleod Ganj",Village Naddi,Mcleodganj,66,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Coffee Shop / Cafe|Children's Park|Room Service (24 Hours),32.2418621,Village Naddi,76.32083465,HTLGBO1000001808,Anupam Resorts,Resort,Mcleodganj,29,Deluxe Room,12,4.1,Himachal Pradesh,5164c283c495b679048fc1eea6b59359
"Near La calypso casino, Saunta Waddo, Baga Beach",Baga Area,Goa,66,The standard check-in time is 10:00 AM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly No pets allowed No check in and check out on 31st December 2015 Compulsory ID government prof required before check in for all guests,Airport Transfer Available / Surcharge|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Luggage Storage|Power Backup|Smoking Rooms|Kitchen available (home cook food on request)| Bike on Rent|Car Rental|Taxi Services|Food Facility|Spa Services Nearby| Cook Services|Baggage Room|Outdoor Parking - Non Secured|Parking Facility|Room Service|CCTV,15.56068833,Baga Area,73.75276548,HTLGBO1000029574,Atharv Coastal End Guest House,Guest House,Goa,6,Standard A/C Room,3,3.4,Goa,391757427f635f24e0b1b373f088a3d3
"Kilbury Forest Road,  Village Pangot, Nainital (approx 13Kms from Town)",Village Pangot,Nainital,69,The standard check-in time is 12:00 PM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Swimming Pool|Beauty Salon - on charge|Billiards|Bowling|Doctor on Call|Games Zone|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Spa On Site - Chargeable|Table Tennis|24 Hour Front Desk|Doorman|Medical Assistance Available|Welcome Drinks|Power Backup|Gardens|Audio - Visual Equipment|Catering|Porter / Bellhop|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |Kitchen available (home cook food on request)|Multi - Line Phone|Pool Table|Discotheque |Clubhouse|Open Air Restaurant / Dining |Fun Floats|Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Board Room|Food Facility|Newspapers In Lobby|Postal / Parcel Services|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Air / Rail Booking|Courier Service|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Public Restrooms|Speciality Restaurant |Suites,29.4240533,Village Pangot,79.4266449,HTLGBO1000005868,Ashokas Naini Chalet,Resort,Nainital,30,chalet,23,3.5,Uttarakhand,b606ef6f7bca2604dad406116779e58d
"No.7.Dharga Road, Pallavaram,","Airport Area, Pallavaram",Chennai,72,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Parking Facilities Available|Front Desk|Internet Access Free|Room Service (24 Hours)|Parking Facility,12.9661099,"Airport Area, Pallavaram",80.1479566,HTLGBO1000006017,AVNB Towers,Hotel,Chennai,20,Executive Room,119,3.6,Tamil Nadu,6cbfed60decd97968828f9fe402934f0
"No 6/16, munnekolalu extention, ashwathnagar, varthur hobli",Marathahalli,Bangalore,100,The standard check-in time is 11:00 PM and the standard check-out time is 11:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Transfers Available|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Speciality Restaurant,12.95709023,Marathahalli,77.70223491,HTLGBO1000069938,ATITHI RESIDENCY - MARTHAHALLI,Hotel,Bangalore,22,EXECUTIVE AC ROOM,3,4.3,Karnataka,ad23d986b6fb83b016abb38685d888f6
"122 / 3, Near Bharma Temple",Brahma Temple Area,Pushkar,100,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,Doctor on Call|Multi Cuisine Restaurant,26.489749,Brahma Temple Area,74.5510856,HTLGBO1000005884,AROMA,Hotel,Pushkar,14,NON Ac Room,2,4.1,Rajasthan,69358d60e44855ccb8a38e08cfeabac9
"House No. 681/1 , Demello Vaddo,Anjuna Beach Road,4th lane left from Starco Junction,Anjuna- Goa.",Candolim Area,Goa,75,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Children not free and will be charged Rs. 500 per head.,Doctor on Call|Internet Access - Surcharge|Parking Facilities Available,15.5809248,Candolim Area,73.7448437,HTLGBO1000013516,Arjun Villa,Guest House,Goa,2,Non AC Room,4,4.4,Goa,e4e94b954b98de42d77046654d2826bf
"christain basti , opposite passport seva kendra, walford",G.S. Road,Guwahati,100,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly unmarried couple are not allowed.,Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Locker Facility|Power Backup|Multi Lingual Staff|Kitchen available (home cook food on request)|Vegetarian Food / Jain Food Available|Food Facility|Internet Access Free|Party hall|Outdoor Parking - Secured|Parking Facility|Room Service|Suites,26.1783205,G.S. Road,91.7530844,HTLGBO1000033556,Awesome Palace,Guest House,Guwahati,16,Awesome Stay double,1,4,Assam,2920f553e0b0f114a40211123c8f2532
"No.7 Sriram Nagar, Polur Road",Athiyanthal Village,Tiruvannamalai,85,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly In keeping with our security procedures, we request all guests to carry a photo identity proof to present at check in.Foreign nationals are required to submit passport and valid visa. Our hotel is Non smoking Non alcoholic hotel.","Babysitting/ Child Care (surcharge)|Banquet Facilities|Currency Exchange|Doctor on Call|Dry Cleaning|Gift Shop |Laundry Service Available|Lift / Elevator|Lobby|Front Desk|Multi Cuisine Restaurant |Locker Facility|Non Smoking Hotel|Local Tour / Travel Desk|Valet service|Major Credit Cards Accepted|24 Hour Front Desk|Welcome Drinks|Power Backup|Multi Lingual Staff|Wake-up Call / Service|Access Via Exterior Corridors|Multi - Line Phone|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Transfers Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Express Laundry|Meditation Room| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Party hall|RO Water Purification System|Parking Facility",12.2358388,Athiyanthal Village,79.0263645,HTLGBO1000029144,Arpanaa Hotel,Hotel,Tiruvannamalai,18,Superior Double Room,35,4.5,Tamil Nadu,3e13111929e5f8b915710cdd05917ef6
